run_id,name,split,scope,metric,value,inter,union,n_valid
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.6593822488096691,5401,8191,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.8982279856066264,13230,14729,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.3432013769363167,997,2905,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,0.0,0,43,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.8628450852822226,0,0,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,boundary_f1,0.541179267636948,0,0,22748
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,36839
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,bedrock,iou,1.0,36839,36839,36839
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,36839
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,big_rock,iou,,0,0,36839
unet__pretrained__resnet34__in_rover__seed1415__gpu_full__7ab4e19b__gitc188b320__codebebd8b2d__20260713T115339963731Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,1.0,0,0,36839
