run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,soil,per_class,iou,0.9750410662410989,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,bedrock,per_class,iou,0.944277076740026,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,sand,per_class,iou,0.9532714479377751,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,big_rock,per_class,iou,0.3578622663247482,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,ALL,all,pixel_acc,0.9802070211025097,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__pretrained__resnet34__in_rover__seed1414__gpu_full__f8a3ff04__gitc188b320__codebebd8b2d__20260710T232715551236Z,unet,resnet34,pretrained,ALL,all,boundary_f1,0.8548942739798946,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,f8a3ff04d1324dfc794f3c047232323b41dc80e82186dcc188df39b4729fd573,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,ALL,all,miou,0.8205825703975599,0.7331604984537773,0.9055622700674969,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,soil,per_class,iou,0.9847505712750457,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
