epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.6395455598831177,0.08775276690721512,0.5352025628089905,0.5032578110694885,1.3512423038482666,0.441439688205719
0,0.00029970399918965995,,1606,0.439776748418808,0.03423820063471794,0.4538622200489044,0.5118277072906494,1.5779330730438232,0.3599262237548828,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.6121304631233215,0.0954967513680458,0.5765652656555176,0.6455155611038208,1.2524391412734985,0.48242703080177307
1,0.0002988172054756433,,3213,0.6598390936851501,0.07096206396818161,0.5220395922660828,0.6262889504432678,1.2645092010498047,0.46978241205215454,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.7399717569351196,0.12410563975572586,0.5661745667457581,0.7135003805160522,1.0663005113601685,0.5359380841255188
2,0.0002973430964630097,,4820,0.6883566379547119,0.08818159997463226,0.5544278621673584,0.6609119772911072,1.1820741891860962,0.49796953797340393,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.7436076402664185,0.13245511054992676,0.6103143692016602,0.755919873714447,0.965514600276947,0.5605742335319519
3,0.00029528746381402016,,6427,0.7116589546203613,0.09429214149713516,0.5725140571594238,0.6837197542190552,1.13643479347229,0.5155462026596069,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.7124348282814026,0.0868220254778862,0.6083870530128479,0.7105652093887329,1.063646674156189,0.5295522809028625
4,0.00029265848570503294,,8034,0.7227619290351868,0.10183963179588318,0.5798253417015076,0.7022978663444519,1.1109672784805298,0.5266811847686768,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.7550770044326782,0.1439799815416336,0.6037755012512207,0.7513793110847473,0.9861592650413513,0.563552975654602
5,0.00028946646489202976,,9641,0.7375550866127014,0.10651008784770966,0.5995795726776123,0.7217680215835571,1.0632407665252686,0.5413532257080078,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.7635492086410522,0.14395152032375336,0.6263810396194458,0.7503777146339417,0.9698669910430908,0.5710648894309998
6,0.0002857240615412593,,11248,0.7470072507858276,0.11406947672367096,0.6070337891578674,0.7269377708435059,1.0472251176834106,0.5487620830535889,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.7864985466003418,0.16571711003780365,0.6440672278404236,0.7821506261825562,0.953190267086029,0.5946083664894104
7,0.00028144600219093263,,12855,0.7531567811965942,0.11578530073165894,0.6155985593795776,0.7386643886566162,1.0249712467193604,0.555801272392273,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.7637726068496704,0.1757766306400299,0.6507089734077454,0.7826821208000183,0.9284491539001465,0.5932350754737854
8,0.00027664919616654515,,14462,0.7613099813461304,0.11943839490413666,0.6205174326896667,0.7493849396705627,1.009163498878479,0.5626627206802368,,,,,,
