run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,big_rock,validation,small_components_recalled,87.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,soil,validation,iou,0.9480324478450364,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,bedrock,validation,iou,0.9468436272257071,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,sand,validation,iou,0.8888395470698937,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,big_rock,validation,iou,0.6196318195814848,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,scale_0,validation,routing_mean_weight,0.11626744270324707,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,scale_1,validation,routing_mean_weight,0.05747230723500252,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,scale_2,validation,routing_mean_weight,0.6196984052658081,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,scale_3,validation,routing_mean_weight,0.2065618932247162,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,routing_active_scales,3.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,latency_median_ms,11.130879878997803,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,peak_gpu_memory_bytes,3805646848.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,miou,0.8520986078818968,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,pixel_acc,0.9700112877030371,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,boundary_f1,0.7711741779853375,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,big_rock,validation,small_component_recall,0.30711610486891383,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,big_rock,validation,small_components_eligible,267.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,big_rock,validation,small_components_recalled,82.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,soil,validation,iou,0.9529840856435493,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,bedrock,validation,iou,0.9502684455287588,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
